,CNY
2019-01-10,6.7725
2019-01-09,6.8164
2019-01-08,6.8342
2019-01-07,6.8396
2019-01-04,6.8549
2019-01-03,6.8611
2019-01-02,6.8433
2019-01-01,6.8730
2018-12-31,6.8772
2018-12-28,6.8445
2018-12-27,6.8556
2018-12-26,6.8811
2018-12-25,6.8756
2018-12-24,6.8879
2018-12-21,6.8778
2018-12-20,6.8751
2018-12-19,6.8861
2018-12-18,6.8820
2018-12-17,6.8856
2018-12-14,6.8806
2018-12-13,6.8626
2018-12-12,6.8691
2018-12-11,6.8902
2018-12-10,6.8657
2018-12-07,6.8649
2018-12-06,6.8557
2018-12-05,6.8355
2018-12-04,6.8218
2018-12-03,6.8760
2018-11-30,6.9325
2018-11-29,6.9271
2018-11-28,6.9427
2018-11-27,6.9308
2018-11-26,6.9264
2018-11-23,6.9220
2018-11-22,6.9170
2018-11-21,6.9210
2018-11-20,6.9273
2018-11-19,6.9280
2018-11-16,6.9298
2018-11-15,6.9290
2018-11-14,6.9405
2018-11-13,6.9437
2018-11-12,6.9468
2018-11-09,6.9330
2018-11-08,6.9100
2018-11-07,6.9047
2018-11-06,6.9042
2018-11-05,6.8897
2018-11-02,6.8676
2018-11-01,6.9224
2018-10-31,6.9568
2018-10-30,6.9519
2018-10-29,6.9416
2018-10-26,6.9335
2018-10-25,6.9329
2018-10-24,6.9277
2018-10-23,6.9261
2018-10-22,6.9242
2018-10-19,6.9174
2018-10-18,6.9249
2018-10-17,6.9020
2018-10-16,6.9013
2018-10-15,6.9088
2018-10-12,6.8886
2018-10-11,6.8858
2018-10-10,6.9073
2018-10-09,6.9041
2018-10-08,6.8589
2018-10-05,6.8679
2018-10-04,6.8589
2018-10-03,6.8589
2018-10-02,6.8589
2018-10-01,6.8589
2018-09-28,6.8625
2018-09-27,6.8684
2018-09-26,6.8636
2018-09-25,6.8523
2018-09-24,6.8423
2018-09-21,6.8295
2018-09-20,6.8320
2018-09-19,6.8465
2018-09-18,6.8534
2018-09-17,6.8551
2018-09-14,6.8371
2018-09-13,6.8243
2018-09-12,6.8515
2018-09-11,6.8520
2018-09-10,6.8338
2018-09-07,6.8262
2018-09-06,6.8183
2018-09-05,6.8266
2018-09-04,6.7975
2018-09-03,6.8128
2018-08-31,6.8251
2018-08-30,6.8174
2018-08-29,6.7995
2018-08-28,6.7907
2018-08-27,6.7929
2018-08-24,6.8064
2018-08-23,6.8308
2018-08-22,6.8303
2018-08-21,6.8243
2018-08-20,6.8395
2018-08-17,6.8585
2018-08-16,6.8800
2018-08-15,6.8817
2018-08-14,6.8720
2018-08-13,6.8372
2018-08-10,6.8155
2018-08-09,6.8070
2018-08-08,6.7980
2018-08-07,6.8177
2018-08-06,6.8114
2018-08-03,6.8263
2018-08-02,6.7949
2018-08-01,6.7843
2018-07-31,6.8050
2018-07-30,6.8037
2018-07-27,6.7828
2018-07-26,6.7318
2018-07-25,6.7472
2018-07-24,6.7830
2018-07-23,6.7417
2018-07-20,6.7652
2018-07-19,6.7144
2018-07-18,6.6874
2018-07-17,6.6655
2018-07-16,6.6614
2018-07-13,6.6508
2018-07-12,6.6530
2018-07-11,6.6289
2018-07-10,6.5904
2018-07-09,6.6001
2018-07-06,6.6320
2018-07-05,6.6236
2018-07-04,6.5978
2018-07-03,6.6355
